Subbasin,Area_acre,inter_acre,WLD,CC,MN,ASC_obs,County,State
137,27344,27277.9,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
138,16687,15544.1,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
138,16687,1142.95,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
139,22511,14406.9,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
139,22511,8103.91,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
140,37434,6963.9,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
140,37434,195.793,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
140,37434,30274.3,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
141,13906,890.708,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
141,13906,10979.5,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
141,13906,2036.14,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
142,23748,23748.2,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
143,17938,17938.1,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
144,15009,11084.9,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
144,15009,3924.12,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
145,22752,4949.51,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
145,22752,17802.1,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
146,11273,11272.9,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
147,10144,357.241,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
147,10144,9787.06,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
148,26514,26513.9,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
149,16496,908.928,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
149,16496,15587.1,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
150,18298,18298.2,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
151,18760,18760.2,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
152,29484,12766.9,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
152,29484,16717,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
153,25747,24069.9,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
153,25747,1676.65,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
154,14021,1111.92,229.14529,44.48585432,59.39409691,9.437279774,Lyon,Minnesota
