Index,County,State,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre,GW,Buffer,Unnamed: 0,original,weight
159,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,95,12541,9.2623,1.76,1.82,159,9.2623,0.0007385696277041491
160,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,95,12541,6138.66,1.94,0.96,160,6138.66,0.4894926563383125
161,Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,95,12541,6392.94,1.94,0.96,161,6392.94,0.5097687740339832
162,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,96,18852,0.393089,1.76,1.82,162,0.39308899999999997,2.0850880741997666e-05
163,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,96,18852,18852.0,1.94,0.96,163,18852.0,0.999979149119258
164,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,97,17373,878.605,1.94,0.96,164,878.605,0.050572273301692734
165,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,97,17373,3199.75,1.76,1.82,165,3199.75,0.18417677055911516
166,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,97,17373,13294.9,1.76,1.82,166,13294.9,0.765250956139192
167,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,98,17223,17223.0,1.76,1.82,167,17223.0,1.0
168,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,99,11505,24.9396,1.76,1.82,168,24.9396,0.002167686428542522
169,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,99,11505,2790.21,1.76,1.82,169,2790.21,0.2425179373279295
170,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,99,11505,8690.02,1.94,0.96,170,8690.02,0.7553143762435279
171,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,100,20640,2497.51,1.94,0.96,171,2497.51,0.12100274659388928
172,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,100,20640,18142.6,1.76,1.82,172,18142.6,0.8789972534061107
173,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,101,23186,180.185,1.94,0.96,173,180.185,0.00777143019805642
174,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,101,23186,1292.58,1.76,1.82,174,1292.58,0.05574934231708393
175,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,101,23186,21712.8,1.76,1.82,175,21712.8,0.9364792274848596
176,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,102,13965,1869.47,1.76,1.82,176,1869.47,0.133872364132945
177,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,102,13965,12095.1,1.76,1.82,177,12095.1,0.8661276358670551
178,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,103,16276,7281.91,1.76,1.82,178,7281.91,0.4474107671143492
179,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,103,16276,8993.76,1.76,1.82,179,8993.76,0.5525892328856508
180,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,104,11317,142.08100000000005,1.76,1.82,180,142.08100000000005,0.012555036144075805
181,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,104,11317,536.873,1.76,1.82,181,536.873,0.047440966207856136
182,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,104,11317,10637.7,1.94,0.96,182,10637.7,0.940003997648068
183,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,105,25658,325.926,1.76,1.82,183,325.926,0.012702642429926487
184,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,105,25658,25332.2,1.94,0.96,184,25332.2,0.9872973575700736
185,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,106,27097,6056.11,1.76,1.82,185,6056.11,0.2234981774674677
186,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,106,27097,21040.8,1.94,0.96,186,21040.8,0.7765018225325323
187,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,107,22301,3686.79,1.76,1.82,187,3686.79,0.16532030784421609
188,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,107,22301,18614.1,1.94,0.96,188,18614.1,0.8346796921557839
189,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,108,24948,6255.67,1.94,0.96,189,6255.67,0.2507449393426577
