Subbasin,CountyID,County,Area_acre,Inter_acre,WLD,CC,NM,ASC_obs
105,15,Lac qui Parle,25658,326,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
106,15,Lac qui Parle,27097,6060,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
107,15,Lac qui Parle,22301,3690,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
108,15,Lac qui Parle,24948,8341,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
109,15,Lac qui Parle,12889,10873,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
110,15,Lac qui Parle,16503,11615,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
113,15,Lac qui Parle,17719,15488,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
114,15,Lac qui Parle,38820,18875,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
115,15,Lac qui Parle,27637,27659,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
116,15,Lac qui Parle,31884,31910,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
117,15,Lac qui Parle,10514,10521,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
118,15,Lac qui Parle,35381,15281,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
119,15,Lac qui Parle,15561,15570,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
120,15,Lac qui Parle,26810,26824,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
121,15,Lac qui Parle,20478,20494,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
122,15,Lac qui Parle,25143,24846,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
123,15,Lac qui Parle,10917,10924,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
124,15,Lac qui Parle,34491,34515,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
125,15,Lac qui Parle,25130,25140,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
128,15,Lac qui Parle,14596,10249,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
129,15,Lac qui Parle,26154,11942,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
130,15,Lac qui Parle,34657,5269,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
131,15,Lac qui Parle,26883,818,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
465,20,McLeod,20403,3950,246.46542810000,61.74713187000,76.74532655000,26.83755684000
480,20,McLeod,38835,2217,246.46542810000,61.74713187000,76.74532655000,26.83755684000
481,20,McLeod,11032,1654,246.46542810000,61.74713187000,76.74532655000,26.83755684000
482,20,McLeod,20859,20495,246.46542810000,61.74713187000,76.74532655000,26.83755684000
483,20,McLeod,13664,10942,246.46542810000,61.74713187000,76.74532655000,26.83755684000
484,20,McLeod,8290,860,246.46542810000,61.74713187000,76.74532655000,26.83755684000
489,20,McLeod,28458,26,246.46542810000,61.74713187000,76.74532655000,26.83755684000
490,20,McLeod,12391,49,246.46542810000,61.74713187000,76.74532655000,26.83755684000
69,23,Otter Tail,36698,36711,255.00106180000,70.18700388000,85.26984466000,35.23543561000
70,23,Otter Tail,16354,16361,255.00106180000,70.18700388000,85.26984466000,35.23543561000
71,23,Otter Tail,13939,13946,255.00106180000,70.18700388000,85.26984466000,35.23543561000
72,23,Otter Tail,18465,13527,255.00106180000,70.18700388000,85.26984466000,35.23543561000
73,23,Otter Tail,38329,21455,255.00106180000,70.18700388000,85.26984466000,35.23543561000
74,23,Otter Tail,12830,28,255.00106180000,70.18700388000,85.26984466000,35.23543561000
75,23,Otter Tail,15955,15960,255.00106180000,70.18700388000,85.26984466000,35.23543561000
76,23,Otter Tail,17799,12628,255.00106180000,70.18700388000,85.26984466000,35.23543561000
191,23,Otter Tail,32347,18699,255.00106180000,70.18700388000,85.26984466000,35.23543561000
192,23,Otter Tail,13895,1650,255.00106180000,70.18700388000,85.26984466000,35.23543561000
197,25,Pope,38460,1415,243.81392250000,59.11259891000,74.07683194000,24.06796447000
198,25,Pope,14318,2846,243.81392250000,59.11259891000,74.07683194000,24.06796447000
199,25,Pope,9098,8060,243.81392250000,59.11259891000,74.07683194000,24.06796447000
200,25,Pope,40026,23847,243.81392250000,59.11259891000,74.07683194000,24.06796447000
201,25,Pope,39513,27058,243.81392250000,59.11259891000,74.07683194000,24.06796447000
202,25,Pope,13903,7193,243.81392250000,59.11259891000,74.07683194000,24.06796447000
203,25,Pope,10430,10432,243.81392250000,59.11259891000,74.07683194000,24.06796447000
204,25,Pope,29604,29608,243.81392250000,59.11259891000,74.07683194000,24.06796447000
