,id,mean_wld,mean_cc,mean_nm,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,countyresident,countyland,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean,concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster,County,Region_y
33,6949465030,565.3593272,164.3311052,269.37357510000004,,,,,,3.0,1.0,1.0,Blue Earth,Blue Earth,3.0,47201.0,15.13,478.0,215.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888,0.020400684,0.364990244,0.318283834,-0.529631732,-0.024389421,-0.309027055,0.200696923,-0.21375517,-0.150349651,1,Blue Earth,Southcentral
34,6949463084,565.3593272,164.3311052,269.37357510000004,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,Blue Earth,Blue Earth,3.0,47201.0,15.13,478.0,215.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888,0.544202566,-0.004050862,0.212864675,0.193309034,0.110353357,-0.198221453,-0.7074440409999999,-0.02585588,0.00141866,0,Blue Earth,Southcentral
35,6949461204,565.3593272,164.3311052,269.37357510000004,1.0,3.0,2.0,6.0,5.0,3.0,1.0,1.0,Le Sueur,Le Sueur,4.8,50857.0,16.3,579.0,228.0,222.0,6745.0,95.5,5867.0,0.0,23.0,256.0,743.0,417.0,764.0,440.0,0.5040713029999999,0.456636592,0.083411714,-0.075779731,0.228953074,0.272945014,0.419099044,-0.187917191,0.196887796,-0.03022975,-0.064423097,1,Le Sueur,Southcentral
36,6949458706,565.3593272,164.3311052,269.37357510000004,1.0,3.0,2.0,3.0,2.0,2.0,1.0,10.0,Brown,Brown,3.8,43375.0,13.9,394.0,207.0,197.0,6875.0,229.6,2004.0,0.0,20.0,233.0,756.0,417.0,698.0,425.0,0.473061071,0.446461497,0.128026887,-0.279334478,0.302945052,-0.091394946,-0.33009456,-0.272550722,0.225233178,-0.125634307,0.21174788100000005,1,Brown,Southcentral
37,6949455558,565.3593272,164.3311052,269.37357510000004,1.0,4.0,1.0,,5.0,,,1.0,Faribault,Faribault,4.4,45400.0,14.55,445.0,209.0,219.0,6585.0,136.2,199.0,0.0,12.0,203.0,784.0,417.0,698.0,433.0,0.490212387,0.463059358,0.54894289,-0.015244337,0.294739508,-0.106534687,-0.097677243,-0.30906111,0.169070179,-0.214599235,-0.150318649,1,Faribault,Southcentral
38,6949418183,565.3593272,164.3311052,269.37357510000004,1.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,Freeborn,Freeborn,3.8,45515.0,14.59,448.0,216.0,217.0,6071.0,0.0,2003.0,0.0,1.0,228.0,753.0,417.0,698.0,424.0,0.5851084010000001,0.557988585,0.28601208,-0.604568443,-0.18743214,0.050998635999999986,-0.155671463,-0.280750658,0.201461103,-0.16021470000000002,0.025516362,1,Freeborn,Southcentral
39,6949416279,565.3593272,164.3311052,269.37357510000004,,,,,4.0,2.0,1.0,10.0,Blue Earth,Blue Earth,3.0,47201.0,15.13,478.0,215.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888,0.370313176,-0.374863147,-0.621259801,-0.189612367,0.160811343,-0.28349507,0.156536867,-0.16918334699999998,-0.183816413,1,Blue Earth,Southcentral
40,6949408889,565.3593272,164.3311052,269.37357510000004,2.0,3.0,2.0,6.0,5.0,3.0,1.0,1.0,Lincoln,Lincoln,3.5,46497.0,14.9,474.0,175.0,171.0,4481.0,149.0,6257.0,32.77,18.0,210.0,770.0,417.0,698.0,429.0,0.52325088,0.512927345,-1.096767578,0.231846372,-1.464109872,0.078200667,0.3652893720000001,-0.277590728,0.230044907,0.049205427,0.000210062,2,Lincoln,Southwest
41,6949405911,565.3593272,164.3311052,269.37357510000004,1.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,Kandiyohi,Kandiyohi,3.5,45104.0,14.46,437.0,229.0,214.0,5854.0,38.3,9834.0,0.0,22.0,237.0,757.0,417.0,709.0,429.0,0.515466703,0.486323499,0.18045121100000006,-0.289104827,0.294408118,0.013357606,-0.28491499,-0.100931798,0.24510174,0.099074661,0.048529811,1,Kandiyohi,Westcentral
42,6949403352,565.3593272,164.3311052,269.37357510000004,,,,,5.0,,1.0,1.0,Carver,Carver,3.1,64020.0,20.52,858.0,197.0,189.0,7866.0,89.4,5422.0,0.0,46.0,651.0,764.0,486.0,1113.0,549.0,0.428145138,0.387660352,-0.482493727,1.21534417,0.310845058,-0.470538155,0.37489123,-0.301398033,0.245793193,0.134621739,0.001111498,1,Carver,Southcentral
